lygis	MB 1	MB 2	MB 3	MB 4	MB 5	MB 6	MB 7	MB 8	MB 9	MB 10	MB 11	MB 12	MB 13	MB 14	MB 15	MB 16	MB 17	MB 18	MB 19	MB 20
26	12:01:30	11:35:40	11:10:30	10:46:20	10:23:10	10:00:40	9:39:00	9:18:10	8:58:10	8:38:50	8:20:10	8:02:10	7:44:40	7:28:00	7:11:50	6:56:20	6:41:20	6:26:50	6:13:00	5:59:30
27	12:21:40	11:55:00	11:29:10	11:04:20	10:40:30	10:17:30	9:55:10	9:33:50	9:13:10	8:53:10	8:34:00	8:15:30	7:57:40	7:40:30	7:23:50	7:08:00	6:52:30	6:37:40	6:23:20	6:09:30
28	12:42:00	12:14:40	11:48:10	11:22:40	10:58:10	10:34:20	10:11:30	9:49:30	9:28:20	9:07:50	8:48:10	8:29:10	8:10:50	7:53:10	7:36:10	7:19:40	7:03:50	6:48:40	6:33:50	6:19:40
29	13:02:40	12:34:30	12:07:20	11:41:10	11:16:00	10:51:40	10:28:10	10:05:30	9:43:40	9:22:40	9:02:30	8:43:00	8:24:10	8:06:00	7:48:30	7:31:40	7:15:20	6:59:40	6:44:30	6:30:00
30	13:23:40	12:54:40	12:26:50	12:00:00	11:34:00	11:09:00	10:45:00	10:21:50	9:59:20	9:37:50	9:17:00	8:57:00	8:37:40	8:19:00	8:01:00	7:43:40	7:27:00	7:10:50	6:55:20	6:40:30
31	13:45:00	13:15:10	12:46:40	12:19:00	11:52:20	11:26:50	11:02:00	10:38:10	10:15:10	9:53:00	9:31:40	9:11:10	8:51:20	8:32:10	8:13:40	7:56:00	7:38:50	7:22:20	7:06:20	6:51:00
32	14:06:30	13:36:00	13:06:40	12:38:20	12:11:00	11:44:40	11:19:20	10:54:50	10:31:20	10:08:30	9:46:40	9:25:30	9:05:10	8:45:30	8:26:40	8:08:20	7:50:50	7:33:50	7:17:30	7:01:50
33	14:28:20	13:57:00	13:27:00	12:57:50	12:29:50	12:02:50	11:36:50	11:11:50	10:47:40	10:24:20	10:01:50	9:40:10	9:19:20	8:59:10	8:39:40	8:21:00	8:03:00	7:45:30	7:28:50	7:12:40
34	14:50:30	14:18:30	13:47:30	13:17:40	12:49:00	12:21:20	11:54:40	11:28:50	11:04:10	10:40:10	10:17:10	9:55:00	9:33:30	9:12:50	8:53:00	8:33:50	8:15:20	7:57:30	7:40:20	7:23:40
35	15:13:00	14:40:10	14:08:20	13:37:50	13:08:20	12:40:00	12:12:40	11:46:20	11:20:50	10:56:20	10:32:40	10:10:00	9:48:00	9:26:50	9:06:30	8:46:40	8:27:50	8:09:30	7:51:50	7:34:50
36	15:35:40	15:02:00	14:29:30	13:58:20	13:28:10	12:59:00	12:31:00	12:04:00	11:37:50	11:12:40	10:48:30	10:25:10	10:02:40	9:41:00	9:20:00	8:59:50	8:40:30	8:21:40	8:03:40	7:46:10
37	15:58:50	15:24:20	14:51:00	14:19:00	13:48:00	13:18:10	12:49:30	12:21:50	11:55:10	11:29:20	11:04:30	10:40:40	10:17:30	9:55:20	9:33:50	9:13:10	8:53:20	8:34:10	8:15:40	7:57:50
38	16:22:20	15:46:50	15:12:50	14:40:00	14:08:20	13:37:40	13:08:20	12:39:50	12:12:30	11:46:10	11:20:50	10:56:20	10:32:40	10:09:50	9:47:50	9:26:40	9:06:20	8:46:40	8:27:40	8:09:30
39	16:46:00	16:09:50	15:34:50	15:01:10	14:28:50	13:57:30	13:27:20	12:58:20	12:30:20	12:03:20	11:37:10	11:12:10	10:48:00	10:24:40	10:02:10	9:40:30	9:19:30	8:59:20	8:40:00	8:21:20
40	17:10:10	16:33:00	15:57:20	15:22:50	14:49:30	14:17:30	13:46:40	13:17:00	12:48:10	12:20:30	11:53:50	11:28:10	11:03:30	10:39:30	10:16:30	9:54:20	9:33:00	9:12:20	8:52:30	8:33:20
41	17:34:30	16:56:30	16:20:00	15:44:40	15:10:40	14:37:50	14:06:20	13:35:50	13:06:30	12:38:10	12:10:50	11:44:30	11:19:10	10:54:40	10:31:10	10:08:30	9:46:30	9:25:20	9:05:00	8:45:30
42	17:59:20	17:20:30	16:43:00	16:06:50	15:32:00	14:58:30	14:26:10	13:55:00	13:24:50	12:56:00	12:28:00	12:01:00	11:35:10	11:10:10	10:46:00	10:22:40	10:00:20	9:38:40	9:17:50	8:57:50
43	18:24:20	17:44:40	17:06:20	16:29:20	15:53:40	15:19:20	14:46:20	14:14:20	13:43:40	13:14:00	12:45:20	12:17:50	11:51:20	11:25:40	11:01:00	10:37:10	10:14:20	9:52:10	9:30:50	9:10:20
44	18:49:50	18:09:10	17:30:00	16:52:10	16:15:40	15:40:40	15:06:40	14:34:10	14:02:40	13:32:20	13:03:00	12:34:50	12:07:40	11:41:30	11:16:10	10:51:50	10:28:30	10:05:50	9:44:00	9:23:00
45	19:15:40	18:34:00	17:54:00	17:15:20	16:38:00	16:02:10	15:27:30	14:54:00	14:21:50	13:50:50	13:21:00	12:52:10	12:24:20	11:57:30	11:31:40	11:06:50	10:42:50	10:19:40	9:57:20	9:35:50
46	19:41:50	18:59:20	18:18:20	17:38:40	17:00:40	16:23:50	15:48:30	15:14:20	14:41:20	14:09:40	13:39:10	13:09:40	12:41:10	12:13:50	11:47:20	11:21:50	10:57:20	10:33:40	10:10:50	9:48:50
47	20:08:20	19:24:50	18:43:00	18:02:30	17:23:30	16:46:00	16:09:50	15:34:50	15:01:10	14:28:50	13:57:30	13:27:20	12:58:20	12:30:20	12:03:10	11:37:10	11:12:10	10:47:50	10:24:40	10:02:10
48	20:35:20	19:50:50	19:08:00	18:26:40	17:46:50	17:08:20	16:31:20	15:55:40	15:21:20	14:48:10	14:16:10	13:45:20	13:15:40	12:47:00	12:19:20	11:52:40	11:27:00	11:02:20	10:38:30	10:15:30
49	21:02:40	20:17:10	19:33:20	18:51:10	18:10:20	17:31:10	16:53:20	16:16:50	15:41:40	15:07:40	14:35:00	14:03:30	13:33:10	13:03:50	12:35:40	12:08:30	11:42:20	11:17:00	10:52:40	10:29:10
50	21:30:20	20:43:50	19:59:00	19:15:50	18:34:20	17:54:10	17:15:30	16:38:10	16:02:20	15:27:40	14:54:10	14:22:00	13:51:00	13:21:10	12:52:20	12:24:30	11:57:40	11:31:50	11:06:50	10:42:50
51	21:58:20	21:10:50	20:25:10	19:41:00	18:58:30	18:17:30	17:38:00	17:00:00	16:23:10	15:47:50	15:13:40	14:40:50	14:09:10	13:38:30	13:09:00	12:40:40	12:13:20	11:46:50	11:21:30	10:56:50
52	22:26:50	21:38:20	20:51:30	20:06:30	19:23:10	18:41:10	18:00:50	17:22:00	16:44:30	16:08:20	15:33:20	14:59:50	14:27:20	13:56:10	13:26:10	12:57:00	12:29:10	12:02:10	11:36:10	11:11:00
53	22:55:40	22:06:10	21:18:20	20:32:20	19:48:00	19:05:10	18:24:00	17:44:20	17:06:00	16:29:00	15:53:20	15:19:10	14:46:00	14:14:10	13:43:20	13:13:40	12:45:10	12:17:40	11:51:00	11:25:30
54	23:24:50	22:34:20	21:45:30	20:58:30	20:13:20	19:29:40	18:47:30	18:06:50	17:27:50	16:50:00	16:13:40	15:38:40	15:04:50	14:32:20	14:00:50	13:30:40	13:01:20	12:33:20	12:06:10	11:40:00
55	23:54:30	23:03:00	22:13:10	21:25:10	20:38:50	19:54:20	19:11:20	18:29:50	17:49:50	17:11:20	16:34:20	15:58:30	15:24:00	14:50:40	14:18:40	13:47:40	13:18:00	12:49:10	12:21:30	11:54:50
56	24:24:40	23:32:00	22:41:10	21:52:10	21:04:50	20:19:20	19:35:30	18:53:10	18:12:20	17:33:00	16:55:10	16:18:30	15:43:20	15:09:20	14:36:40	14:05:00	13:34:40	13:05:20	12:37:00	12:09:50
57	24:55:10	24:01:20	23:09:30	22:19:30	21:31:10	20:44:40	20:00:00	19:16:40	18:35:10	17:55:00	17:16:10	16:39:00	16:03:00	15:28:20	14:54:50	14:22:40	13:51:40	13:21:40	12:52:50	12:25:00
58	25:26:10	24:31:10	23:38:10	22:47:10	21:58:00	21:10:30	20:24:40	19:40:40	18:58:10	18:17:10	17:37:40	16:59:40	16:22:50	15:47:30	15:13:20	14:40:30	14:08:50	13:38:20	13:08:50	12:40:20
59	25:57:30	25:01:20	24:07:20	23:15:10	22:25:00	21:36:40	20:50:00	20:05:00	19:21:30	18:39:40	17:59:30	17:20:30	16:43:10	16:07:00	15:32:10	14:58:40	14:26:20	13:55:00	13:25:00	12:56:00
60	26:29:20	25:32:00	24:36:50	23:43:40	22:52:30	22:03:00	21:15:30	20:29:30	19:45:20	19:02:40	18:21:30	17:41:50	17:03:40	16:26:40	15:51:10	15:17:00	14:44:00	14:12:10	13:41:30	13:11:50
61	27:01:30	26:03:10	25:06:50	24:12:40	23:20:20	22:30:00	21:41:20	20:54:30	20:09:20	19:25:50	18:43:50	18:03:20	17:24:20	16:46:50	16:10:30	15:35:30	15:01:50	14:29:30	13:58:10	13:28:00
62	27:34:10	26:34:40	25:37:20	24:42:00	23:48:30	22:57:10	22:07:30	21:19:50	20:33:40	19:49:20	19:06:30	18:25:10	17:45:20	17:07:00	16:30:10	15:54:30	15:20:10	14:47:00	14:15:00	13:44:10
63	28:07:20	27:06:40	26:08:00	25:11:40	24:17:10	23:24:50	22:34:10	21:45:30	20:58:30	20:13:10	19:29:30	18:47:20	18:06:50	17:27:40	16:50:00	16:13:30	15:38:30	15:04:40	14:32:10	14:00:50
64	28:41:00	27:39:00	26:39:20	25:41:50	24:46:10	23:52:40	23:01:10	22:11:30	21:23:30	20:37:20	19:52:50	19:09:50	18:28:30	17:48:30	17:10:00	16:33:00	15:57:10	15:22:50	14:49:30	14:17:30
65	29:15:10	28:12:00	27:11:00	26:12:20	25:15:40	24:21:10	23:28:30	22:37:50	21:49:00	21:01:50	20:16:20	19:32:40	18:50:20	18:09:40	17:30:30	16:52:40	16:16:10	15:41:00	15:07:10	14:34:30
66	29:49:40	28:45:10	27:43:10	26:43:20	25:45:30	24:49:50	23:56:20	23:04:30	22:14:40	21:26:40	20:40:20	19:55:40	19:12:40	18:31:10	17:51:10	17:12:40	16:35:30	15:59:40	15:25:00	14:51:40
67	30:24:40	29:19:00	28:15:40	27:14:40	26:15:50	25:19:10	24:24:20	23:31:40	22:40:50	21:51:50	21:04:40	20:19:10	19:35:10	18:53:00	18:12:10	17:32:50	16:55:00	16:18:20	15:43:10	15:09:10
68	31:00:20	29:53:20	28:48:40	27:46:30	26:46:30	25:48:40	24:53:00	23:59:10	23:07:20	22:17:30	21:29:20	20:42:50	19:58:10	19:15:00	18:33:20	17:53:20	17:14:40	16:37:30	16:01:30	15:27:00
69	31:36:20	30:28:00	29:22:10	28:18:50	27:17:40	26:18:40	25:21:50	24:27:00	23:34:20	22:43:20	21:54:20	21:07:00	20:21:20	19:37:20	18:55:00	18:14:10	17:34:40	16:56:50	16:20:10	15:44:50
70	32:12:50	31:03:20	29:56:10	28:51:30	27:49:10	26:49:10	25:51:10	24:55:20	24:01:30	23:09:40	22:19:40	21:31:20	20:44:50	20:00:00	19:16:50	18:35:10	17:55:00	17:16:20	16:39:00	16:03:10
71	32:50:00	31:39:00	30:30:40	29:24:40	28:21:10	27:20:00	26:21:00	25:24:00	24:29:10	23:36:20	22:45:20	21:56:10	21:08:40	20:23:00	19:39:00	18:56:40	18:15:40	17:36:10	16:58:10	16:21:30
72	33:27:30	32:15:10	31:05:30	29:58:20	28:53:40	27:51:20	26:51:10	25:53:10	24:57:10	24:03:20	23:11:20	22:21:10	21:33:00	20:46:20	20:01:30	19:18:20	18:36:30	17:56:20	17:17:40	16:40:20
73	34:05:40	32:52:00	31:41:00	30:32:30	29:26:30	28:23:00	27:21:40	26:22:30	25:25:40	24:30:40	23:37:40	22:46:40	21:57:30	21:10:00	20:24:20	19:40:20	18:57:50	18:16:50	17:37:20	16:59:20
74	34:44:20	33:29:10	32:16:50	31:07:10	30:00:00	28:55:10	27:52:40	26:52:30	25:54:20	24:58:30	24:04:30	23:12:30	22:22:20	21:34:00	20:47:30	20:02:30	19:19:20	18:37:30	17:57:20	17:18:30
75	35:23:30	34:07:00	32:53:20	31:42:20	30:33:50	29:27:50	28:24:10	27:22:50	26:23:40	25:26:40	24:31:40	23:38:40	22:47:40	21:58:20	21:10:50	20:25:10	19:41:00	18:58:30	18:17:30	17:38:00
76	36:03:10	34:45:20	33:30:10	32:17:50	31:08:10	30:00:50	28:56:00	27:53:30	26:53:20	25:55:10	24:59:10	24:05:10	23:13:10	22:23:00	21:34:40	20:48:10	20:03:10	19:19:50	18:38:10	17:57:50
77	36:43:30	35:24:10	34:07:40	32:54:00	31:42:50	30:34:20	29:28:20	28:24:40	27:23:20	26:24:10	25:27:10	24:32:10	23:39:10	22:48:00	21:58:50	21:11:20	20:25:30	19:41:30	18:58:50	18:17:50
78	37:24:20	36:03:30	34:45:40	33:30:30	32:18:10	31:08:20	30:01:10	28:56:20	27:53:50	26:53:30	25:55:30	24:59:30	24:05:30	23:13:20	22:23:20	21:34:50	20:48:20	20:03:20	19:20:00	18:38:20
79	38:05:40	36:43:30	35:24:10	34:07:40	32:54:00	31:42:50	30:34:20	29:28:20	28:24:40	27:23:20	26:24:10	25:27:10	24:32:10	23:39:10	22:48:00	21:58:50	21:11:20	20:25:30	19:41:30	18:58:50
80	38:47:40	37:23:50	36:03:10	34:45:20	33:30:10	32:17:50	31:08:00	30:00:50	28:56:00	27:53:30	26:53:10	25:55:10	24:59:10	24:05:10	23:13:10	22:23:00	21:34:40	20:48:00	20:03:10	19:19:50
81	39:30:20	38:05:00	36:42:40	35:23:20	34:07:00	32:53:20	31:42:10	30:33:50	29:27:40	28:24:10	27:22:50	26:23:40	25:26:40	24:31:40	23:38:40	22:47:40	21:58:20	21:10:50	20:25:10	19:41:00
82	40:13:30	38:46:40	37:22:50	36:02:10	34:44:20	33:29:10	32:16:50	31:07:10	30:00:00	28:55:10	27:52:40	26:52:30	25:54:30	24:58:30	24:04:30	23:12:30	22:22:20	21:34:00	20:47:30	20:02:30
83	40:57:20	39:28:50	38:03:30	36:41:20	35:22:00	34:05:40	32:52:00	31:41:00	30:32:40	29:26:40	28:23:00	27:21:40	26:22:40	25:25:40	24:30:40	23:37:50	22:46:40	21:57:30	21:10:10	20:24:20
84	41:41:40	40:11:40	38:44:50	37:21:10	36:00:30	34:42:40	33:27:40	32:15:20	31:05:40	29:58:30	28:53:50	27:51:20	26:51:10	25:53:10	24:57:20	24:03:20	23:11:30	22:21:20	21:33:00	20:46:30
85	42:26:40	40:55:00	39:26:40	38:01:30	36:39:20	35:20:10	34:03:50	32:50:10	31:39:20	30:31:00	29:25:00	28:21:30	27:20:10	26:21:10	25:24:10	24:29:20	23:36:30	22:45:30	21:56:20	21:09:00
86	43:12:20	41:39:00	40:09:00	38:42:20	37:18:40	35:58:10	34:40:30	33:25:30	32:13:20	31:03:40	29:56:40	28:52:00	27:49:40	26:49:30	25:51:30	24:55:40	24:01:50	23:10:00	22:20:00	21:31:40
87	43:58:40	42:23:40	40:52:00	39:23:50	37:58:40	36:36:40	35:17:40	34:01:20	32:47:50	31:37:00	30:28:40	29:22:50	28:19:30	27:18:20	26:19:20	25:22:30	24:27:40	23:34:50	22:43:50	21:54:50
88	44:45:40	43:08:50	41:35:40	40:05:50	38:39:10	37:15:50	35:55:20	34:37:40	33:22:50	32:10:50	31:01:20	29:54:20	28:49:40	27:47:20	26:47:20	25:49:30	24:53:40	24:00:00	23:08:10	22:18:10
89	45:33:10	43:54:50	42:20:00	40:48:30	39:20:20	37:55:20	36:33:30	35:14:30	33:58:20	32:45:00	31:34:20	30:26:00	29:20:20	28:17:00	27:15:50	26:17:00	25:20:10	24:25:30	23:32:40	22:41:50
90	46:21:30	44:41:20	43:04:50	41:31:40	40:02:00	38:35:30	37:12:10	35:51:50	34:34:20	33:19:40	32:07:40	30:58:20	29:51:20	28:47:00	27:44:50	26:44:50	25:47:00	24:51:20	23:57:40	23:05:50
91	47:10:20	45:28:30	43:50:20	42:15:30	40:44:20	39:16:20	37:51:30	36:29:40	35:10:50	33:54:50	32:41:40	31:31:00	30:23:00	29:17:20	28:14:00	27:13:00	26:14:20	25:17:40	24:23:00	23:30:20
92	48:00:00	46:16:20	44:36:20	43:00:00	41:27:10	39:57:40	38:31:20	37:08:10	35:47:50	34:30:30	33:16:00	32:04:10	30:54:50	29:48:10	28:43:40	27:41:40	26:41:50	25:44:10	24:48:40	23:55:00
93	48:50:20	47:04:50	45:23:10	43:45:10	42:10:40	40:39:30	39:11:40	37:47:00	36:25:20	35:06:40	33:50:50	32:37:50	31:27:20	30:19:20	29:13:50	28:10:40	27:09:50	26:11:10	25:14:40	24:20:10
94	49:41:20	47:54:00	46:10:30	44:30:50	42:54:40	41:22:00	39:52:40	38:26:30	37:03:30	35:43:30	34:26:20	33:11:50	32:00:10	30:51:00	29:44:20	28:40:10	27:38:10	26:38:30	25:41:00	24:45:30
95	50:33:10	48:43:50	46:58:40	45:17:10	43:39:20	42:05:00	40:34:10	39:06:30	37:42:00	36:20:40	35:02:10	33:46:30	32:33:30	31:23:10	30:15:20	29:10:00	28:07:00	27:06:20	26:07:40	25:11:20
96	51:25:30	49:34:30	47:47:20	46:04:10	44:24:40	42:48:40	41:16:20	39:47:10	38:21:10	36:58:20	35:38:30	34:21:30	33:07:20	31:55:40	30:46:50	29:40:20	28:36:10	27:34:20	26:34:50	25:37:30
97	52:18:50	50:25:50	48:36:50	46:51:50	45:10:40	43:33:00	41:59:00	40:28:20	39:00:50	37:36:30	36:15:20	34:57:00	33:41:30	32:28:50	31:18:40	30:11:00	29:05:50	28:03:00	27:02:20	26:04:00
98	53:12:40	51:17:50	49:27:00	47:40:10	45:57:10	44:18:00	42:42:10	41:10:00	39:41:00	38:15:20	36:52:40	35:33:00	34:16:20	33:02:20	31:50:50	30:42:10	29:35:50	28:31:50	27:30:10	26:30:50
99	54:07:20	52:10:30	50:17:50	48:29:10	46:44:30	45:03:30	43:26:10	41:52:20	40:21:50	38:54:40	37:30:40	36:09:40	34:51:30	33:36:10	32:23:40	31:13:40	30:06:10	29:01:10	27:58:30	26:58:00
100	55:02:50	53:04:00	51:09:20	49:18:50	47:32:20	45:49:40	44:10:40	42:35:10	41:03:10	39:34:30	38:09:00	36:46:40	35:27:10	34:10:40	32:56:50	31:45:40	30:37:00	29:31:00	28:27:10	27:25:40
